
> raven@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000

✓ Starting...
Creating turbopack project { dir: 'C:\\Users\\mk0\\raven', testMode: true }
✓ Ready in 1182ms
 GET /session 200 in 600ms (compile: 366ms, render: 234ms)
 GET /api/relationship 200 in 365ms (compile: 88ms, proxy.ts: 69ms, render: 208ms)
 GET /api/profile 200 in 365ms (compile: 170ms, proxy.ts: 68ms, render: 127ms)
 GET /api/emergency-stop 200 in 365ms (compile: 214ms, proxy.ts: 68ms, render: 82ms)
 GET /api/tasks 200 in 372ms (compile: 139ms, proxy.ts: 70ms, render: 163ms)
 GET /api/memory 200 in 65ms (compile: 41ms, proxy.ts: 15ms, render: 9ms)
 GET /api/devices/list 200 in 100ms (compile: 80ms, proxy.ts: 15ms, render: 5ms)
 GET /api/devices/status 200 in 137ms (compile: 116ms, proxy.ts: 15ms, render: 6ms)
 GET /api/custom-items 200 in 56ms (compile: 41ms, proxy.ts: 6ms, render: 10ms)
 GET /api/memory 200 in 17ms (compile: 4ms, proxy.ts: 6ms, render: 7ms)
 GET /api/custom-items 200 in 10ms (compile: 3ms, proxy.ts: 3ms, render: 4ms)
 GET /api/tasks 200 in 16ms (compile: 3ms, proxy.ts: 5ms, render: 9ms)
 GET /api/memory 200 in 23ms (compile: 6ms, proxy.ts: 8ms, render: 9ms)
 GET /api/custom-items 200 in 10ms (compile: 3ms, proxy.ts: 3ms, render: 4ms)
 GET /api/tasks 200 in 18ms (compile: 3ms, proxy.ts: 3ms, render: 12ms)
 GET /api/custom-items 200 in 15ms (compile: 5ms, proxy.ts: 6ms, render: 5ms)
 GET /api/memory 200 in 11ms (compile: 2ms, proxy.ts: 3ms, render: 5ms)
 GET /session 200 in 86ms (compile: 4ms, render: 82ms)
 GET /api/tasks 200 in 32ms (compile: 11ms, proxy.ts: 9ms, render: 12ms)
 GET /api/profile 200 in 37ms (compile: 25ms, proxy.ts: 9ms, render: 3ms)
 GET /api/relationship 200 in 47ms (compile: 31ms, proxy.ts: 10ms, render: 6ms)
 GET /api/emergency-stop 200 in 61ms (compile: 45ms, proxy.ts: 12ms, render: 4ms)
 GET /api/memory 200 in 33ms (compile: 8ms, proxy.ts: 20ms, render: 5ms)
 GET /api/devices/status 200 in 32ms (compile: 15ms, proxy.ts: 11ms, render: 6ms)
 GET /api/devices/list 200 in 38ms (compile: 25ms, proxy.ts: 11ms, render: 3ms)
 GET /api/custom-items 200 in 16ms (compile: 4ms, proxy.ts: 6ms, render: 5ms)
 GET /api/custom-items 200 in 15ms (compile: 8ms, proxy.ts: 3ms, render: 5ms)
 GET /api/tasks 200 in 14ms (compile: 1926µs, proxy.ts: 3ms, render: 9ms)
 GET /api/memory 200 in 17ms (compile: 6ms, proxy.ts: 5ms, render: 6ms)
 GET /api/memory 200 in 25ms (compile: 15ms, proxy.ts: 6ms, render: 4ms)
 GET /api/custom-items 200 in 10ms (compile: 2ms, proxy.ts: 5ms, render: 3ms)
 GET /api/tasks 200 in 14ms (compile: 1969µs, proxy.ts: 3ms, render: 9ms)
 GET /api/custom-items 200 in 9ms (compile: 3ms, proxy.ts: 3ms, render: 3ms)
 GET /api/memory 200 in 11ms (compile: 2ms, proxy.ts: 3ms, render: 5ms)
 GET /api/tasks 200 in 14ms (compile: 3ms, proxy.ts: 2ms, render: 8ms)
 GET /api/custom-items 200 in 8ms (compile: 2ms, proxy.ts: 3ms, render: 3ms)
 GET /api/memory 200 in 11ms (compile: 3ms, proxy.ts: 3ms, render: 5ms)
 GET /api/custom-items 200 in 9ms (compile: 2ms, proxy.ts: 3ms, render: 3ms)
 GET /api/tasks 200 in 15ms (compile: 3ms, proxy.ts: 4ms, render: 8ms)
 GET /api/memory 200 in 23ms (compile: 7ms, proxy.ts: 9ms, render: 7ms)
